iter	Passed	Remaining
399	30052	345608
400	30115	345387
401	30184	345240
402	30248	345045
403	30321	344947
404	30391	344807
405	30464	344714
406	30528	344515
407	30598	344383
408	30672	344291
409	30740	344144
410	30809	344005
411	30883	343916
412	30948	343733
413	31015	343566
414	31078	343364
415	31148	343235
416	31226	343197
417	31308	343190
418	31376	343045
419	31457	343037
420	31538	343029
421	31612	342938
422	31695	342954
423	31776	342949
424	31852	342880
425	31929	342833
426	32000	342715
427	32071	342600
428	32142	342481
429	32211	342343
430	32278	342179
431	32353	342111
432	32426	342013
433	32497	341900
434	32568	341778
435	32638	341660
436	32707	341519
437	32776	341384
438	32839	341183
439	32906	341029
440	32965	340795
441	33029	340611
442	33100	340490
443	33165	340315
444	33235	340201
445	33302	340040
446	33369	339891
447	33432	339697
448	33501	339562
449	33566	339397
450	33637	339279
451	33706	339149
452	33779	339057
453	33850	338951
454	33920	338834
455	33987	338682
456	34062	338617
457	34139	338565
458	34217	338521
459	34298	338511
460	34378	338490
461	34449	338377
462	34528	338344
463	34600	338245
464	34671	338143
465	34748	338092
466	34823	338021
467	34903	337993
468	34967	337822
469	35115	338458
470	35232	338789
471	35310	338744
472	35388	338695
473	35460	338592
474	35529	338467
475	35603	338378
476	35673	338260
477	35741	338119
478	35802	337920
479	35874	337818
480	35941	337668
481	36005	337494
482	36073	337359
483	36138	337196
484	36210	337095
485	36282	336996
486	36354	336899
487	36427	336805
488	36493	336653
489	36560	336505
490	36626	336355
491	36682	336104
492	36752	335990
493	36812	335783
494	36887	335714
495	36960	335628
496	37035	335555
497	37104	335427
498	37183	335393
499	37262	335358
500	37353	335436
501	37428	335365
502	37499	335257
503	37572	335167
504	37652	335148
505	37727	335074
506	37808	335052
507	37890	335048
508	37967	334993
509	38029	334810
510	38102	334716
511	38161	334508
512	38228	334368
513	38302	334289
514	38367	334136
515	38444	334081
516	38512	333950
517	38583	333841
518	38649	333695
519	38720	333594
520	38789	333467
521	38855	333323
522	38926	333216
523	38994	333090
524	39066	332993
525	39134	332863
526	39197	332692
527	39264	332560
528	39335	332452
529	39410	332385
530	39481	332286
531	39552	332182
532	39621	332061
533	39688	331929
534	39754	331785
535	39819	331632
536	39895	331574
537	39972	331519
538	40041	331404
539	40110	331286
540	40180	331176
541	40254	331097
542	40334	331070
543	40418	331076
544	40489	330970
545	40583	331057
546	40670	331093
547	40747	331033
548	40819	330942
549	40887	330819
550	40956	330702
551	41013	330489
552	41080	330355
553	41146	330210
554	41217	330114
555	41292	330039
556	41355	329879
557	41422	329748
558	41484	329579
559	41554	329470
560	41624	329357
561	41691	329228
562	41755	329073
563	41832	329020
564	41902	328918
565	41968	328779
566	42033	328635
567	42116	328630
568	42184	328507
569	42253	328387
570	42322	328276
571	42391	328164
572	42457	328029
573	42528	327927
574	42600	327835
575	42673	327752
576	42747	327679
577	42821	327602
578	42898	327553
579	42973	327486
580	43045	327393
581	43116	327296
582	43189	327220
583	43270	327193
584	43367	327296
585	43444	327243
586	43524	327209
587	43604	327180
588	43669	327041
589	43741	326948
590	43814	326864
591	43887	326780
592	43955	326666
593	44019	326514
594	44084	326373
595	44156	326280
596	44226	326178
597	44291	326037
598	44358	325912
599	44427	325804
600	44496	325689
601	44566	325589
602	44633	325460
603	44700	325339
604	44775	325272
605	44855	325238
606	44923	325123
607	44992	325014
608	45062	324908
609	45131	324802
610	45206	324729
611	45281	324664
612	45348	324539
613	45413	324403
614	45477	324261
615	45550	324176
616	45624	324101
617	45699	324036
