iter	RMSE
0	14.64941601
1	13.69142978
2	12.86400098
3	12.14532964
4	11.54029615
5	11.00714536
6	10.56683531
7	10.17271777
8	9.859068835
9	9.567613466
10	9.339378673
11	9.133607122
12	9.010603945
13	8.902503469
14	8.762338453
15	8.653996681
16	8.556207384
17	8.467340005
18	8.404912615
19	8.339281775
20	8.287099113
21	8.243148237
22	8.206702979
23	8.172667928
24	8.142398922
25	8.119597353
26	8.091028776
27	8.069071896
28	8.041448487
29	8.01895019
30	8.002371237
31	7.985235564
32	7.9700019
33	7.959533329
34	7.953497178
35	7.936783673
36	7.926175392
37	7.917835896
38	7.91090227
39	7.898046021
40	7.891778984
41	7.884946958
42	7.880210767
43	7.873568786
44	7.859373925
45	7.854335848
46	7.847371624
47	7.839481703
48	7.836277272
49	7.830022354
50	7.8246681
51	7.816770507
52	7.813550782
53	7.801157596
54	7.797556678
55	7.794292698
56	7.785785926
57	7.779750411
58	7.767760519
59	7.764733593
60	7.762724066
61	7.758752047
62	7.754954219
63	7.748997019
64	7.744020542
65	7.736781125
66	7.727293897
67	7.720466082
68	7.713958565
69	7.711014613
70	7.707128188
71	7.703634464
72	7.700431701
73	7.693912428
74	7.690190913
75	7.678778891
76	7.674068138
77	7.673134389
78	7.670971727
79	7.666491459
80	7.662181974
81	7.658524833
82	7.653967954
83	7.651009804
84	7.645500556
85	7.640219686
86	7.639407811
87	7.635111851
88	7.629780106
89	7.625960593
90	7.617899464
91	7.614297666
92	7.612631145
93	7.610634585
94	7.60741156
95	7.602600123
96	7.600438964
97	7.596132398
98	7.591916678
99	7.589288328
100	7.585973564
101	7.582024475
102	7.570740392
103	7.569001841
104	7.563324619
105	7.56123192
106	7.558571593
107	7.55382139
108	7.544393491
109	7.538705472
110	7.534794422
111	7.533042067
112	7.528607388
113	7.526121295
114	7.524944836
115	7.523146706
116	7.519481069
117	7.51538848
118	7.510582379
119	7.507041338
120	7.50152976
121	7.497854094
122	7.495716972
123	7.491670713
124	7.486600937
125	7.482175763
126	7.479581578
127	7.475838538
128	7.471616803
129	7.46953183
130	7.465945906
131	7.462875354
132	7.456231625
133	7.449333723
134	7.445194693
135	7.443716971
136	7.441184658
137	7.437653025
138	7.435479676
139	7.431745589
140	7.427765239
141	7.423532375
142	7.422217049
143	7.41918367
144	7.41570194
145	7.412408029
146	7.410823451
147	7.407408862
148	7.404412423
149	7.401480411
150	7.399320408
151	7.398484836
152	7.393250718
153	7.389533371
154	7.387406551
155	7.384443396
156	7.381912174
157	7.379195509
158	7.37642453
159	7.374066685
160	7.36990162
161	7.368929454
162	7.365978176
163	7.362942726
164	7.361187468
165	7.356864786
166	7.353766954
167	7.35231497
168	7.348993057
169	7.346228732
170	7.343192598
171	7.338360524
172	7.336022316
173	7.333829656
174	7.331884486
175	7.329819797
176	7.327803759
177	7.325862063
178	7.324024617
179	7.322300215
180	7.320199998
181	7.318319644
182	7.316781889
183	7.315274027
184	7.313720181
185	7.309432798
186	7.305872166
187	7.303756585
188	7.301866211
189	7.298797884
190	7.294837792
191	7.293919878
192	7.293307065
193	7.291499767
194	7.289554135
195	7.288416006
196	7.286998343
197	7.285160094
198	7.282249529
199	7.281380181
200	7.28113973
201	7.27520642
202	7.273000199
203	7.270738305
204	7.270161272
205	7.267769971
206	7.266556565
207	7.265518697
208	7.263390493
209	7.260661471
210	7.259392474
211	7.255442895
212	7.252945863
213	7.25138263
214	7.249810115
215	7.247686549
216	7.24596857
217	7.243238264
218	7.239993177
219	7.236268159
220	7.235242733
221	7.234001616
222	7.232354822
223	7.230886276
224	7.227845219
225	7.226107909
226	7.224067281
227	7.221133887
228	7.218937152
229	7.217342934
230	7.214621156
231	7.213643536
232	7.211854976
233	7.210648936
234	7.207461059
235	7.205951093
236	7.204482862
237	7.200946458
238	7.199726618
239	7.199216806
240	7.198517024
241	7.19677112
242	7.195286785
243	7.193257172
244	7.191545734
245	7.190240817
246	7.189847419
247	7.187702714
248	7.186124989
249	7.185172024
250	7.182927807
251	7.180173258
252	7.179573034
253	7.177106294
254	7.176264887
255	7.175570999
256	7.171072704
257	7.169002483
258	7.168338533
259	7.166577832
260	7.164522154
261	7.162874122
262	7.160667631
263	7.160010197
264	7.158794796
265	7.155895209
266	7.154826511
267	7.153266857
268	7.152355603
269	7.151661611
270	7.150242227
271	7.149318615
272	7.147850279
273	7.147084728
274	7.146659009
275	7.146111755
276	7.144744932
277	7.142925085
278	7.140914351
279	7.139148174
280	7.13829001
281	7.137493725
282	7.136202662
283	7.134912961
284	7.133615406
285	7.132071459
286	7.130827738
287	7.128109032
288	7.127652945
289	7.127007542
290	7.125080986
291	7.124044696
292	7.122214936
293	7.12030938
294	7.119300005
295	7.117924877
296	7.116341361
297	7.115582702
298	7.113328875
299	7.111692694
300	7.110801546
301	7.108840353
302	7.106736436
303	7.105714042
304	7.104425981
305	7.101330155
306	7.098993398
307	7.097243817
308	7.097054455
309	7.094550065
310	7.093963839
311	7.092156118
312	7.091672409
313	7.088771286
314	7.086550085
315	7.084634802
316	7.084356764
317	7.083374262
318	7.081786362
319	7.080854558
320	7.079974579
321	7.079058475
322	7.078301017
323	7.077290527
324	7.075112124
325	7.07316156
326	7.069755887
327	7.068468802
328	7.065857692
329	7.064627875
330	7.063492155
331	7.061804626
332	7.061315656
333	7.05982559
334	7.058930184
335	7.058639486
336	7.058023919
337	7.056363828
338	7.054910035
339	7.053270489
340	7.052400972
341	7.050967302
342	7.049325915
343	7.047611001
344	7.046440771
345	7.045389052
346	7.042115408
347	7.041613633
348	7.040036626
349	7.03794301
350	7.034770064
351	7.034392709
352	7.032368007
353	7.031945672
354	7.029491153
355	7.029112803
356	7.027687551
357	7.02595341
358	7.024537896
359	7.023638291
360	7.022855623
361	7.022154199
362	7.021531515
363	7.020616485
364	7.019174036
365	7.018706203
366	7.017537102
367	7.016443595
368	7.014375661
369	7.013043468
370	7.01153404
371	7.010943649
372	7.010232558
373	7.009385128
374	7.009113066
375	7.008550465
376	7.007079059
377	7.006782335
378	7.005479166
379	7.004510587
380	7.003718942
381	7.00328527
382	7.001856544
383	7.000699442
384	7.000031296
385	6.99930155
386	6.998331306
387	6.996123668
388	6.993743174
389	6.993329808
390	6.992090145
391	6.990102914
392	6.989418403
393	6.986283212
394	6.985317319
395	6.984741771
396	6.983798353
397	6.982469769
398	6.981539232
399	6.979105102
400	6.977281546
401	6.976133245
402	6.975373817
403	6.9744571
404	6.973886652
405	6.973661797
406	6.971396387
407	6.970757361
408	6.969741345
409	6.969395553
410	6.968787769
411	6.968415547
412	6.967307491
413	6.965947483
414	6.964749523
415	6.964333303
416	6.96356053
417	6.963429774
418	6.961947829
419	6.960544588
420	6.959589736
421	6.958370393
422	6.957559776
423	6.956635672
424	6.95597747
425	6.954821123
426	6.953698459
427	6.952716831
428	6.952603795
429	6.950176032
430	6.948946903
431	6.94834985
432	6.94670537
433	6.945880067
434	6.944964051
435	6.944284682
436	6.942003475
437	6.940277115
438	6.939530226
439	6.938747589
440	6.936895832
441	6.935124089
442	6.934581547
443	6.934086079
444	6.93345231
445	6.930596259
446	6.92913178
447	6.927713652
448	6.926979977
449	6.926268238
450	6.925730367
451	6.924525904
452	6.923260145
453	6.922655907
454	6.921408805
455	6.918850207
456	6.917833022
457	6.915817768
458	6.915061376
459	6.914442081
460	6.913873329
461	6.912464777
462	6.911110924
463	6.910289668
464	6.909602427
465	6.909182998
466	6.90867457
467	6.906954102
468	6.905678631
469	6.904429876
470	6.902675037
471	6.900790367
472	6.899978752
473	6.898221595
474	6.896386526
475	6.895816115
476	6.895172022
477	6.894428974
478	6.89377361
479	6.891899711
480	6.891451657
481	6.889744448
482	6.888411195
483	6.886757501
484	6.88558562
485	6.884503302
486	6.884175245
487	6.882943139
488	6.882047553
489	6.879813245
490	6.878549564
491	6.876985779
492	6.876367278
493	6.875561128
494	6.874132413
495	6.872613079
496	6.87109084
497	6.870222218
498	6.869361835
499	6.867569415
500	6.866772583
501	6.865468604
502	6.864596228
503	6.863175236
504	6.8606244
505	6.858499018
506	6.858075585
507	6.857590249
508	6.856523239
509	6.854983651
510	6.85396054
511	6.853141936
512	6.851872153
513	6.85094362
514	6.850178356
515	6.84817355
516	6.847711257
517	6.845804869
518	6.84424594
519	6.843351066
520	6.842892
521	6.842090351
522	6.841724216
523	6.840078163
524	6.839405
525	6.83862307
526	6.837040613
527	6.835646113
528	6.833465761
529	6.83230665
530	6.831351872
531	6.830336956
532	6.829897603
533	6.828542041
534	6.827088161
535	6.826602443
536	6.823926336
537	6.823033388
538	6.821904895
539	6.820795744
540	6.820165126
541	6.819079983
542	6.818741173
543	6.817741889
544	6.815729034
545	6.814723165
546	6.813849592
547	6.812871375
548	6.81222455
549	6.811769989
550	6.810904895
551	6.8106168
552	6.809648675
553	6.809209355
554	6.808589269
555	6.80740664
556	6.806989679
557	6.806537524
558	6.805315623
559	6.803671984
560	6.803406851
561	6.802974087
562	6.801390419
563	6.801135298
564	6.800410547
565	6.799782225
566	6.798489757
567	6.797401902
568	6.796498824
569	6.794487819
570	6.793309416
571	6.79284079
572	6.790935126
573	6.789298506
574	6.788835737
575	6.788404287
576	6.787047206
577	6.786141585
578	6.78577841
579	6.784953998
580	6.783322783
581	6.782297695
582	6.779872178
583	6.778542303
584	6.778040709
585	6.775874922
586	6.775409427
587	6.774511408
588	6.773575188
589	6.773078384
590	6.771780805
591	6.771431506
592	6.770661056
593	6.769838435
594	6.768747347
595	6.767714828
596	6.76713111
597	6.766433267
598	6.765079575
599	6.764745682
600	6.76361628
601	6.762695547
602	6.760902137
603	6.760140234
604	6.759530503
605	6.758703447
606	6.757688508
607	6.75705949
608	6.755439467
609	6.754926409
610	6.754518201
611	6.753777519
612	6.75307643
613	6.752173175
614	6.751570791
615	6.75104071
616	6.750537298
617	6.750429118
618	6.748630221
619	6.747618096
620	6.746811881
621	6.746417048
622	6.746073094
623	6.745319299
624	6.744944499
625	6.743954466
626	6.743092583
627	6.742551227
628	6.74170055
629	6.739291321
630	6.738426227
631	6.736806347
632	6.736314865
633	6.735625372
634	6.73455062
635	6.734059256
636	6.733561735
637	6.73254804
638	6.731925234
639	6.729879044
640	6.728653993
641	6.727312692
642	6.725993434
643	6.725001495
644	6.724397128
645	6.72397227
646	6.723277447
647	6.722413253
648	6.721940467
649	6.720783674
650	6.720170763
651	6.719949074
652	6.718516372
653	6.718062097
654	6.717038342
655	6.716295887
656	6.715437744
657	6.714382155
658	6.713675713
659	6.71324789
660	6.712619769
661	6.7114956
662	6.710683692
663	6.710229497
664	6.708891025
665	6.708099224
666	6.70708423
667	6.705791845
668	6.704930223
669	6.70464242
670	6.703958726
671	6.70316231
672	6.702031935
673	6.700969262
674	6.700780842
675	6.700168501
676	6.699408022
677	6.699095201
678	6.698922126
679	6.697967921
680	6.697041484
681	6.695675267
682	6.695435742
683	6.694745724
684	6.694541048
685	6.692448115
686	6.691375745
687	6.689730679
688	6.689182858
689	6.687569967
