iter	RMSE
0	14.54522227
1	13.60392669
2	12.7748007
3	12.0742966
4	11.47007678
5	10.94053302
6	10.49520506
7	10.12635473
8	9.796929016
9	9.527782309
10	9.296433018
11	9.10753029
12	8.943780443
13	8.797723551
14	8.670381609
15	8.566344131
16	8.472856506
17	8.388012819
18	8.320571823
19	8.261307024
20	8.203786118
21	8.16980741
22	8.141024528
23	8.116011576
24	8.088563172
25	8.069041929
26	8.049038659
27	8.024354706
28	8.000795432
29	7.97851542
30	7.961551392
31	7.94356478
32	7.929454063
33	7.908968403
34	7.891657178
35	7.876476865
36	7.868101761
37	7.858861771
38	7.842442111
39	7.834080269
40	7.821753364
41	7.813574947
42	7.806332594
43	7.799705316
44	7.790506333
45	7.781718871
46	7.776908788
47	7.773221151
48	7.766240654
49	7.759227126
50	7.752294348
51	7.743128531
52	7.737019924
53	7.728601672
54	7.723195589
55	7.718991815
56	7.707546243
57	7.702669203
58	7.696594408
59	7.693415858
60	7.684124218
61	7.678328407
62	7.676065904
63	7.671864555
64	7.669080274
65	7.665648888
66	7.662283748
67	7.659930881
68	7.655533963
69	7.648413034
70	7.645351948
71	7.640906902
72	7.635164407
73	7.634147139
74	7.629784061
75	7.621804224
76	7.618243988
77	7.610966363
78	7.608557909
79	7.60654987
80	7.603713071
81	7.598292215
82	7.59505278
83	7.59122273
84	7.590327277
85	7.588688332
86	7.587404822
87	7.578107104
88	7.573106037
89	7.569939242
90	7.565966659
91	7.558942993
92	7.553126021
93	7.543367419
94	7.540611699
95	7.538556065
96	7.536870353
97	7.532368756
98	7.52867952
99	7.525707386
100	7.521698505
101	7.519719846
102	7.511281173
103	7.507211841
104	7.504673651
105	7.501821243
106	7.498543446
107	7.49317709
108	7.490550665
109	7.486694313
110	7.483824396
111	7.481093088
112	7.476647055
113	7.47283834
114	7.470122227
115	7.46646943
116	7.463884684
117	7.461661967
118	7.459694532
119	7.457994847
120	7.455019412
121	7.450210226
122	7.446806361
123	7.44272736
124	7.44036667
125	7.436098963
126	7.431105542
127	7.428646961
128	7.42624624
129	7.424601142
130	7.421006066
131	7.419562456
132	7.417600619
133	7.413290091
134	7.411366884
135	7.407958923
136	7.406555428
137	7.404579366
138	7.399723991
139	7.395754972
140	7.393598494
141	7.390969575
142	7.388280177
143	7.382656744
144	7.380766464
145	7.378955935
146	7.37630535
147	7.372756963
148	7.368803063
149	7.365653049
150	7.361394894
151	7.352144751
152	7.350364934
153	7.347966642
154	7.34541111
155	7.343758255
156	7.340642164
157	7.336454428
158	7.333325414
159	7.331308142
160	7.329387233
161	7.326407577
162	7.323674848
163	7.321680284
164	7.319603896
165	7.317788289
166	7.314498991
167	7.312065003
168	7.309155238
169	7.307263817
170	7.301723034
171	7.298687609
172	7.297373905
173	7.294152316
174	7.291815821
175	7.290069383
176	7.289048653
177	7.287968279
178	7.285992248
179	7.283813526
180	7.280810506
181	7.277903195
182	7.277349715
183	7.276941202
184	7.273861935
185	7.271778804
186	7.269192054
187	7.266039913
188	7.259112779
189	7.257896414
190	7.257242291
191	7.253990516
192	7.2520172
193	7.249422092
194	7.246821357
195	7.244781309
196	7.24211135
197	7.24063194
198	7.238384239
199	7.235885898
200	7.232958741
201	7.23030484
202	7.228579551
203	7.226572183
204	7.225435647
205	7.223843707
206	7.221206541
207	7.219614958
208	7.217684126
209	7.216880005
210	7.216466162
211	7.213846161
212	7.2125441
213	7.21207637
214	7.209928834
215	7.208796052
216	7.205989857
217	7.204970397
218	7.203202384
219	7.202169405
220	7.20049243
221	7.198257013
222	7.196784326
223	7.195184883
224	7.19326926
225	7.192107413
226	7.190734837
227	7.188224869
228	7.183610046
229	7.182193996
230	7.180857779
231	7.179672717
232	7.176515964
233	7.173664703
234	7.17242264
235	7.170042306
236	7.168360253
237	7.166766892
238	7.165266707
239	7.163591259
240	7.161565094
241	7.159637293
242	7.157699161
243	7.156033931
244	7.15356814
245	7.147933549
246	7.145924745
247	7.143603488
248	7.142706685
249	7.141384217
250	7.140216426
251	7.138575432
252	7.13592044
253	7.13444049
254	7.132316702
255	7.130215874
256	7.128477073
257	7.126590373
258	7.125883393
259	7.1244007
260	7.123455762
261	7.122494278
262	7.12158531
263	7.120324017
264	7.11879052
265	7.11498206
266	7.114219297
267	7.112779068
268	7.111584759
269	7.109772912
270	7.108888631
271	7.108556924
272	7.106437054
273	7.105136877
274	7.103379727
275	7.10166296
276	7.100050409
277	7.099246385
278	7.098097733
279	7.096952271
280	7.095171533
281	7.093104387
282	7.090297184
283	7.089172643
284	7.08814337
285	7.086415416
286	7.082649286
287	7.08056437
288	7.079398776
289	7.077631071
290	7.075526053
291	7.073090959
292	7.072604366
293	7.071665229
294	7.069783935
295	7.06892236
296	7.068519456
297	7.066871945
298	7.065113307
299	7.062703815
300	7.061771808
301	7.060175344
302	7.05706589
303	7.054984221
304	7.05171117
305	7.049457494
306	7.048320883
307	7.047432378
308	7.046486758
309	7.045222023
310	7.043162934
311	7.041272361
312	7.038963576
313	7.037758544
314	7.037409026
315	7.036255647
316	7.035255389
317	7.034568255
318	7.033094042
319	7.03256098
320	7.03197205
321	7.030429855
322	7.028497906
323	7.027073672
324	7.024594214
325	7.023938422
326	7.021747191
327	7.020468235
328	7.018942569
329	7.01712899
330	7.016535742
331	7.015787797
332	7.013749022
333	7.013166709
334	7.012282947
335	7.011882385
336	7.010076652
337	7.008408441
338	7.006765517
339	7.005308103
340	7.004140637
341	7.003627304
342	7.001945877
343	6.999748612
344	6.998705828
345	6.998374881
346	6.99713902
347	6.995382983
348	6.994237215
349	6.992469475
350	6.991045276
351	6.990428701
352	6.9896105
353	6.988579601
354	6.986612253
355	6.9856219
356	6.98447961
357	6.983885574
358	6.982683314
359	6.981451708
360	6.980544433
361	6.98021062
362	6.979384915
363	6.978605465
364	6.977289541
365	6.976255809
366	6.975811297
367	6.974855399
368	6.973626326
369	6.971518771
370	6.970574225
371	6.969057881
372	6.968840853
373	6.966607735
374	6.96335417
375	6.962057288
376	6.960421003
377	6.959391189
378	6.958423896
379	6.957063456
380	6.956234193
381	6.955527857
382	6.954624948
