iter	RMSE
0	14.65509245
1	13.72327206
2	12.91003369
3	12.22745746
4	11.62587792
5	11.10543693
6	10.65227955
7	10.27565113
8	9.946979176
9	9.652473632
10	9.412548025
11	9.211864142
12	9.043005487
13	8.895667896
14	8.767187664
15	8.675448128
16	8.599564842
17	8.532393155
18	8.462413601
19	8.410008239
20	8.355501287
21	8.310460105
22	8.272169535
23	8.243565072
24	8.21090936
25	8.189354559
26	8.172260984
27	8.149227325
28	8.138036564
29	8.122089383
30	8.105286422
31	8.079192207
32	8.067598098
33	8.059704592
34	8.041053241
35	8.034532159
36	8.022387567
37	8.002262745
38	7.985850531
39	7.969910883
40	7.961549016
41	7.957480005
42	7.946555945
43	7.942889067
44	7.936484246
45	7.927094163
46	7.921142863
47	7.909379301
48	7.906008018
49	7.896512695
50	7.882923724
51	7.875858309
52	7.869281403
53	7.861260384
54	7.850327113
55	7.832667331
56	7.827906507
57	7.819396115
58	7.813884477
59	7.809263112
60	7.796841685
61	7.795173599
62	7.789899245
63	7.786670529
64	7.784160233
65	7.776479256
66	7.77435361
67	7.769027725
68	7.766238253
69	7.765178624
70	7.762010046
71	7.749058173
72	7.747154609
73	7.743672875
74	7.739790201
75	7.738523898
76	7.730144647
77	7.726502371
78	7.724557188
79	7.718034282
80	7.714224419
81	7.710106934
82	7.708353297
83	7.697077038
84	7.690073346
85	7.686633135
86	7.681956149
87	7.678103261
88	7.673752458
89	7.671339041
90	7.666868983
91	7.662739675
92	7.65558278
93	7.653800227
94	7.649936972
95	7.647584442
96	7.642245454
97	7.639518064
98	7.637803843
99	7.633568973
100	7.629794458
101	7.623607126
102	7.621721784
103	7.619075684
104	7.615490564
105	7.61232075
106	7.605877644
107	7.602297218
108	7.599704517
109	7.598374608
110	7.597013376
111	7.594310974
112	7.590754033
113	7.588395307
114	7.584677285
115	7.580940868
116	7.579132892
117	7.572520404
118	7.567616612
119	7.563611054
120	7.561969709
121	7.55803916
122	7.552233621
123	7.545850788
