iter	Passed	Remaining
0	75	379447
1	167	419548
2	251	419596
3	307	384118
4	363	363111
5	427	355859
6	487	347775
7	549	342922
8	617	342353
9	683	341166
10	734	333311
11	801	333291
12	864	331447
13	922	328622
14	978	325064
15	1033	321846
16	1094	320755
17	1153	319269
18	1217	319214
19	1286	320324
20	1347	319421
21	1410	319221
22	1478	319998
23	1535	318367
24	1601	318624
25	1674	320358
26	1734	319441
27	1803	320188
28	1873	321158
29	1934	320506
30	2006	321651
31	2073	321886
32	2133	321098
33	2207	322494
34	2326	329966
35	2437	336172
36	2529	339285
37	2621	342321
38	2699	343375
39	2765	342864
40	2838	343349
41	2914	344079
42	2996	345460
43	3072	346067
44	3149	346825
45	3224	347263
46	3301	347932
47	3380	348745
48	3453	348986
49	3529	349421
50	3599	349328
51	3672	349453
52	3748	349867
53	3827	350572
54	3891	349851
55	3973	350827
56	4055	351690
57	4142	352954
58	4235	354671
59	4321	355792
60	4400	356323
61	4478	356681
62	4558	357196
63	4641	357993
64	4716	358093
65	4796	358551
66	4870	358563
67	4941	358409
68	5005	357745
69	5063	356640
70	5135	356524
71	5217	357094
72	5285	356761
73	5357	356618
74	5392	354138
75	5458	353640
76	5531	353682
77	5594	353050
78	5669	353163
79	5737	352851
80	5802	352393
81	5880	352668
82	5955	352817
83	6029	352862
84	6113	353529
85	6190	353736
86	6265	353834
87	6340	353912
88	6414	353927
89	6493	354275
90	6569	354378
91	6650	354765
92	6733	355304
93	6809	355373
94	6847	353529
95	6916	353325
96	6993	353517
97	7065	353427
98	7142	353599
99	7221	353865
100	7282	353223
101	7350	352944
102	7421	352827
103	7493	352753
104	7564	352629
105	7623	351992
106	7712	352696
107	7795	353092
108	7864	352895
109	7937	352856
110	8006	352643
111	8072	352322
112	8143	352198
113	8218	352251
114	8280	351739
115	8351	351622
116	8418	351344
117	8489	351214
118	8555	350939
119	8617	350444
120	8689	350397
121	8758	350180
122	8822	349815
123	8901	350022
124	8979	350201
125	9036	349553
126	9117	349855
127	9199	350140
128	9275	350245
129	9341	349935
130	9423	350259
131	9503	350494
132	9579	350534
133	9655	350635
134	9728	350587
135	9798	350443
136	9871	350393
137	9949	350523
138	10015	350249
139	10087	350167
140	10170	350486
141	10244	350471
142	10314	350345
143	10392	350468
144	10456	350112
145	10524	349887
146	10583	349393
147	10642	348912
148	10717	348944
149	10803	349300
150	10874	349213
151	10955	349431
152	11022	349195
153	11097	349216
154	11177	349372
155	11251	349373
156	11326	349403
157	11400	349359
158	11469	349200
159	11538	349027
160	11605	348820
161	11682	348878
162	11766	349154
163	11846	349323
164	11924	349412
165	12001	349478
166	12075	349476
167	12153	349569
168	12230	349626
169	12306	349662
170	12379	349593
171	12458	349708
172	12532	349691
173	12608	349705
174	12677	349529
175	12742	349264
176	12811	349093
177	12881	348961
178	12951	348833
179	13024	348758
180	13090	348513
181	13152	348182
182	13225	348131
183	13295	347991
184	13364	347846
185	13436	347755
186	13508	347683
187	13581	347624
188	13644	347328
189	13717	347258
190	13796	347376
191	13868	347282
192	13938	347173
193	14013	347159
194	14086	347104
195	14160	347076
196	14237	347111
197	14314	347159
198	14383	347015
199	14447	346732
200	14513	346521
201	14577	346257
202	14653	346263
203	14716	345981
204	14803	346268
205	14887	346461
206	14965	346522
207	15043	346574
208	15117	346548
209	15194	346570
210	15266	346508
211	15343	346522
212	15419	346551
213	15499	346631
214	15562	346362
215	15635	346291
216	15708	346242
217	15783	346220
218	15847	345967
219	15914	345782
220	15980	345571
221	16054	345523
222	16112	345159
223	16182	345034
224	16247	344808
225	16315	344642
226	16387	344567
227	16465	344622
228	16556	344943
229	16668	345683
230	16768	346188
231	16875	346818
232	16969	347178
233	17055	347384
234	17153	347819
235	17248	348182
236	17347	348634
237	17421	348570
238	17500	348612
239	17579	348651
240	17660	348742
241	17736	348718
242	17822	348904
243	17899	348890
244	17974	348848
245	18060	349024
246	18139	349055
247	18252	349734
248	18364	350402
249	18448	350525
250	18537	350742
251	18611	350667
252	18682	350543
253	18754	350426
254	18827	350340
255	18899	350234
256	18968	350077
257	19043	350015
258	19119	349984
259	19196	349960
260	19266	349819
261	19334	349651
262	19407	349554
263	19476	349398
264	19556	349429
265	19625	349282
266	19720	349571
267	19844	350388
268	19939	350686
269	20021	350739
270	20089	350563
271	20159	350413
272	20233	350348
273	20305	350238
274	20379	350153
275	20452	350055
276	20516	349824
277	20589	349721
278	20668	349734
279	20742	349661
280	20819	349632
281	20893	349552
282	20968	349507
283	21048	349528
284	21128	349542
285	21203	349493
286	21290	349628
287	21369	349627
288	21444	349567
289	21522	349558
290	21601	349554
291	21671	349417
292	21740	349265
293	21809	349099
294	21912	349480
295	22023	349999
296	22125	350355
297	22213	350497
298	22280	350303
299	22353	350205
300	22430	350163
301	22498	349996
302	22575	349953
303	22644	349800
304	22710	349590
305	22773	349349
306	22846	349246
307	22929	349304
308	22998	349148
309	23128	349913
310	23282	351028
311	23362	351042
312	23449	351136
313	23527	351109
314	23611	351169
315	23692	351189
316	23769	351147
317	23846	351104
318	23942	351327
319	24058	351854
320	24182	352497
321	24280	352743
322	24376	352969
323	24466	353098
324	24558	353269
325	24638	353249
326	24736	353497
327	24856	354057
328	24957	354333
329	25047	354459
330	25120	354337
331	25194	354243
332	25259	354013
333	25333	353909
334	25404	353773
335	25475	353623
336	25545	353468
337	25618	353350
338	25690	353232
339	25754	352993
340	25827	352877
341	25900	352763
342	25974	352656
343	26043	352498
344	26119	352419
345	26184	352210
346	26253	352040
347	26326	351926
348	26398	351805
349	26470	351677
350	26534	351444
351	26604	351304
352	26680	351231
353	26752	351103
354	26835	351131
355	26915	351111
356	26990	351029
357	27069	350997
358	27146	350932
359	27219	350826
360	27300	350818
361	27381	350809
362	27456	350738
363	27531	350647
364	27608	350594
365	27683	350507
366	27751	350328
367	27825	350242
368	27900	350149
369	27964	349931
370	28034	349790
371	28110	349719
372	28185	349632
373	28252	349452
374	28326	349359
375	28397	349228
376	28469	349113
377	28541	348995
378	28620	348962
379	28698	348911
380	28771	348808
381	28840	348650
382	28906	348461
383	28985	348426
384	29063	348388
385	29142	348352
386	29213	348227
387	29293	348196
388	29375	348207
389	29460	348236
390	29533	348136
391	29609	348065
392	29698	348144
393	29849	348951
394	29980	349517
395	30081	349732
396	30155	349642
397	30234	349601
398	30316	349589
399	30405	349660
400	30495	349745
401	30575	349714
402	30658	349720
403	30742	349736
404	30836	349859
405	30918	349855
406	30997	349807
407	31079	349797
408	31158	349749
409	31236	349692
410	31334	349866
411	31419	349889
412	31505	349919
413	31587	349908
414	31672	349926
415	31744	349800
416	31821	349734
417	31899	349678
418	31988	349734
419	32076	349787
420	32151	349690
421	32273	350112
422	32393	350506
423	32485	350598
424	32559	350492
425	32643	350499
426	32719	350417
427	32800	350379
428	32870	350238
429	32985	350568
430	33101	350910
431	33209	351154
432	33308	351318
