iter	RMSE
0	14.68774193
1	13.7592708
2	12.95200727
3	12.26681882
4	11.66464895
5	11.13937155
6	10.68394885
7	10.30437748
8	10.04571324
9	9.766920225
10	9.530213347
11	9.331974817
12	9.162876905
13	9.017735512
14	8.887097297
15	8.787203603
16	8.689015522
17	8.60558567
18	8.530748293
19	8.477388506
20	8.419426695
21	8.369526313
22	8.331392957
23	8.291051623
24	8.263770523
25	8.247847597
26	8.210292011
27	8.191545921
28	8.179362403
29	8.162068422
30	8.15181481
31	8.134991829
32	8.104745898
33	8.08043272
34	8.07236194
35	8.061725298
36	8.045670259
37	8.037224018
38	8.018488496
39	8.00316868
40	7.996560131
41	7.992274482
42	7.98232749
43	7.975944179
44	7.956966655
45	7.953435802
46	7.945524567
47	7.94184002
48	7.928917109
49	7.925224868
50	7.919380086
51	7.910530229
52	7.902909115
53	7.893674504
54	7.892559597
55	7.883451118
56	7.878227161
57	7.868361609
58	7.864423627
59	7.849625675
60	7.845409637
61	7.841017632
62	7.835346628
63	7.832415647
64	7.827486781
65	7.823536718
66	7.820845653
67	7.814289452
68	7.802436649
69	7.796473118
70	7.792436495
71	7.790297415
72	7.783785796
73	7.779980782
74	7.779278323
75	7.774244126
76	7.768800842
77	7.767799635
78	7.763599248
79	7.759169254
80	7.757290386
81	7.755487887
82	7.749641694
83	7.746021873
84	7.742828624
85	7.735021708
86	7.730796365
87	7.722252552
88	7.718007069
89	7.715112788
90	7.705775126
91	7.702293378
92	7.70046099
93	7.698916412
94	7.698821471
95	7.692202633
96	7.688738195
97	7.68742773
98	7.68137514
99	7.678017959
100	7.672676229
101	7.667818673
102	7.664243696
103	7.65718763
104	7.653513429
105	7.648891121
106	7.646129437
107	7.641396172
108	7.634453166
109	7.632914028
110	7.6225311
111	7.618180949
112	7.615944034
113	7.612900819
114	7.605342722
115	7.600036103
116	7.59349649
117	7.5919662
118	7.586091899
119	7.581375806
120	7.57805636
121	7.570133045
122	7.566078228
123	7.562377417
124	7.559341563
125	7.555585259
126	7.553500415
127	7.550078513
128	7.547466388
129	7.544561711
130	7.54150373
131	7.537985982
132	7.535278885
133	7.531845001
134	7.529356424
135	7.528405353
136	7.522877214
137	7.518245848
138	7.511552611
139	7.510679328
140	7.509446915
141	7.506658841
142	7.503209175
143	7.498404363
144	7.495741409
145	7.491900156
146	7.489388977
147	7.484038036
148	7.482769736
149	7.480890129
150	7.476797717
151	7.471695758
152	7.469285526
153	7.46709103
154	7.46497244
155	7.464122649
156	7.459551025
157	7.456222396
158	7.451845858
159	7.449804853
160	7.448276924
161	7.443895365
162	7.441742788
163	7.438700369
164	7.435889295
165	7.434723276
166	7.432162223
167	7.428465692
168	7.42620488
169	7.422503886
170	7.41957678
171	7.418102537
172	7.415661895
173	7.413649352
174	7.410097343
175	7.407270875
176	7.40274741
177	7.402250646
178	7.400030062
179	7.397267317
180	7.394501913
181	7.392103474
182	7.389087078
183	7.387435517
184	7.384268737
185	7.383004226
186	7.380833026
187	7.378815865
188	7.377878623
189	7.3752848
190	7.372581502
191	7.371071522
192	7.36821386
193	7.367204765
194	7.364273808
195	7.362477493
196	7.361713334
197	7.358764741
198	7.352643561
199	7.348612278
200	7.345365708
201	7.342283496
202	7.340021367
203	7.338975926
204	7.337858114
205	7.336449863
206	7.334550236
207	7.3330139
208	7.332461435
209	7.329497644
210	7.328101278
211	7.325911662
212	7.32240886
213	7.320288762
214	7.319211088
215	7.315796078
216	7.313087027
217	7.310083019
218	7.308293887
219	7.306941416
220	7.304608794
221	7.301903118
222	7.30028734
223	7.297766333
224	7.297011635
225	7.296331997
226	7.294086831
227	7.29264292
228	7.292184486
229	7.289973482
230	7.289479973
231	7.286541173
232	7.284898279
233	7.283597286
234	7.278793762
235	7.276778083
236	7.274813955
237	7.27214181
238	7.269859361
239	7.268456542
240	7.266886348
241	7.264992926
242	7.263132395
243	7.261655453
244	7.2587371
245	7.2570105
246	7.25517663
247	7.254005919
248	7.252327388
249	7.251564084
250	7.249127621
251	7.248716674
252	7.247837089
253	7.245948854
254	7.244532524
255	7.240819385
256	7.239385934
257	7.238059161
258	7.236781249
259	7.235340751
260	7.232713625
261	7.230708257
262	7.230201982
263	7.227904413
264	7.226345259
